$\log B$,$\eta$
5.802674325151654,1.701890793055393
6.2269787683503175,1.5412810234972256
5.961208927070503,1.6870277006542556
5.979827860135763,1.6429815084708952
5.75531653916598,1.6798906200257437
6.164288715750534,1.5768776816557606
5.963505229246549,1.5605546172783198
4.6416963010793335,2.615120330939427
6.170180551607853,1.7201523237881895
6.2841296581189585,1.4728114373516803
4.839324679678995,2.6960348397744323
6.3622632884549555,1.4297220881773818
6.411649045656079,1.472281660366921
6.41791000051147,1.452452059150803
6.572582934419604,1.2701979747591277
6.588512192809057,1.5521339152242108
6.43287609013689,1.3755006517946384
5.918228496564283,1.6491322388173093
4.816706892114899,2.793035458265617
5.817076048708115,1.6605706495077932
5.889307531690398,1.8788402803749238
6.779062170206766,1.4597872200855435
6.463101222908205,1.2776297323127488
4.25117653366138,2.852832390779091
4.176456455871553,3.0023619484802766
5.495149971513317,2.1758146816098063
6.280537387121201,1.61148819759737
6.573163974826691,1.7116118648010406
6.891843425444428,1.2213818441745046
6.41091486072029,1.5740221746671175
6.595537829612339,1.4646040080124443
6.430021407969633,1.5543022576638026
5.9879775013316126,1.7246223089194004
6.588377258019634,1.2580725712767276
5.413129453180607,2.2392955400370735
5.126766847716398,2.708562384946313
4.607922243780868,2.5435561441528183
6.68145047684865,1.1254040327506944
5.950619490661497,1.5340993279115858
6.741922213499901,1.1445570129389482
4.133783619164941,3.0457210081775603
5.725379501015516,2.087986756556023
6.678924556362545,1.2102203383131458
6.1581452862664126,1.4359705278208867
5.863246658793193,1.6632868043264653
6.451603619908529,1.5598009502633807
5.875967885350825,1.7855806678766273
6.099049821130779,1.6570641975073146
4.955004997150736,3.1937063484022508
6.716217390955809,1.1350354571055543
6.659642578086892,1.2599318506930322
6.763006741024565,1.1654695314958736
4.797417204101226,3.260435507728415
5.5262417024956925,2.4002737161885133
4.999971069388057,5.042029809102843
6.085918404775549,1.4642984463058177
4.601497176726452,2.6518577567224426
6.1575616992703655,1.617014654033952
6.46226712201255,1.4041248580586818
6.246390527376978,1.417338690445218
6.4444396664738095,1.3012362674475804
6.730246675743122,1.4571773564068782
6.070110145860963,1.696992168808633
6.038630704859221,1.7434688553339255
6.216624968988122,1.4208980802628062
6.960935609396934,1.1243287451054544
6.698605058179189,1.406003240985671
6.584127976388002,1.1633948959315266
2.8727484695646415,4.33712107809859
5.923819402070788,1.5348218081144738
6.909252829901494,1.1648086118363057
6.127931135382829,1.6732106187756126
5.588319395143115,2.0635398198907957
5.85158105500684,1.6325583129316126
6.44867587563364,1.351926076349916
6.472938445050233,1.4586853634928425
6.45710178463526,1.3156798137281334
6.372984785838959,1.502006236521288
5.916659010500673,1.799836459969285
6.359255410706487,1.6400744470180841
6.300488981842826,1.4931553628132401
6.479750812548413,1.435460748894286
6.005297506979599,1.431107468733395
5.884852235470665,1.8974557021260297
5.533747663346028,2.3765862768169623
6.656489492906426,1.3488339860469496
6.733966835534789,1.111863909465534
5.8272560365837585,1.8695989608430499
5.287200096520377,2.4557755391775875
6.359132320549163,1.3540130675723447
6.249204685843157,1.656996567277187
6.42025082618099,1.5538751068955015
6.7728007086089335,1.2528806831881332
5.742912599975453,1.7325238380199572
6.030902446932712,1.69394720235921
5.676011623042714,1.6970180690517984
6.717771432775838,1.3906410560360385
5.9739223035204505,1.6776698373316847
6.756638698791398,1.1508767413829426
6.067559844229001,1.5541916446161315
5.935733416856904,1.5958223308814314
6.556403146421761,1.269652992553861
4.384695071759979,3.6236860333237035
6.4593584804953075,1.6533512629949199
5.616781013297003,2.2798986524394813
6.389157533752727,1.3201715105737208
5.9092589566966085,1.6939984120162177
5.627938533377261,1.8335178674337365
6.677004807144188,1.2461313754181196
5.739589908375463,1.7556549689587826
6.639021778971536,1.2675953618558622
5.463933211396761,2.1369007797326773
7.061322761074571,1.0621958820006179
5.5917181317007145,1.9757456759807819
5.592441556931692,2.0966803258489413
5.658449050469446,1.8463290245068034
6.710005501882025,1.2210460895848836
5.7780820662356405,1.8144617422109632
5.968369976680284,1.700390343087973
