$\log C$,$\theta$,$ \log \lambda_\mathrm{c}$,$\rho$
40.629236285477596,2.006940599337244,-1.9737769950905797,1.4635116138756954
40.326684363404645,2.129486725985598,-2.159318220951915,1.4425478007881358
40.25325161125966,2.156856616954881,-2.224635328177465,1.4402421754915666
39.91547222526509,2.28140022466762,-2.3770908270087143,1.433825833421055
39.805842831329095,2.326065500594487,-2.469869020421931,1.4216894943564335
39.72206358668032,2.367181511945572,-2.6068962777771305,1.4112900529171093
40.24616810750055,2.1564992959047125,-2.23507688198954,1.4449435632773802
40.13576056028755,2.2018218652631165,-2.2684304723576205,1.453531287611697
40.16555405024098,2.185158504456594,-2.209323175474249,1.4387484373760933
40.64353704363554,2.002777114990634,-1.9642312010921295,1.4613740647499291
40.151794514760944,2.200596700651579,-2.235355623650867,1.462026727729074
40.562612072021864,2.0224576210970495,-1.86345962282912,1.4868830365591803
40.56798921532863,2.027720745225001,-1.9612371442393732,1.4483943956304317
40.3938012786179,2.104127479127073,-2.1487879941301937,1.48018535633392
39.95644567181406,2.275626247386008,-2.356075363301025,1.4869887175047314
39.686575683386174,2.374777645213573,-2.4544201858484844,1.4483660265490033
40.35393991944729,2.1204398958149255,-2.148567138113373,1.4666543444973126
39.682367866172676,2.374561741716709,-2.5584991811800513,1.4011614198087983
40.12486644118605,2.2107577368894757,-2.351096402900174,1.444812967406504
39.982169969015686,2.262447468795786,-2.3706086427028366,1.4384514819402703
40.02286102749848,2.250194986261734,-2.4207296927334494,1.4107378935222743
40.24677926272036,2.149993890691218,-2.134741813296473,1.4575883883464036
40.025886583908346,2.2399439453085503,-2.246263858726463,1.461386089776779
40.17219647063768,2.1853964144768967,-2.235850120162641,1.433105335664834
40.21732009963775,2.1683683004754384,-2.257439518004783,1.4407275235083665
40.43447591569256,2.088594632113875,-2.2122802293877912,1.4358372486395914
39.447829163692695,2.4694127244505806,-2.7699704152501474,1.403556314187602
39.745260994315245,2.3610847323119732,-2.5705432988269235,1.4302689459047369
39.49932851116536,2.4420717005470656,-2.5986987860264805,1.4469068982366935
40.414951963441204,2.099525407974255,-2.2505846903121083,1.4312454203608167
