z,log10 L_bol [erg s^-1],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,46.28286731633683,-7.132086737309782,0.09999999999999999,0.09999999999999999,Shen2020
0,47.10088476308806,-8.872086737309782,0.65,0.65,Shen2020
0,42.54804836518065,-3.468375031926842,0.64,0.64,Shen2020
0,43.21248035880443,-4.278375031926843,0.42000000000000004,0.42000000000000004,Shen2020
0,43.96535622797629,-4.248375031926843,0.12499999999999999,0.12499999999999999,Shen2020
0,44.612218095494896,-4.7583750319268425,0.115,0.115,Shen2020
0,45.20646885620346,-5.318375031926842,0.09,0.09,Shen2020
0,45.8094147927154,-6.248375031926843,0.12499999999999999,0.12499999999999999,Shen2020
0,46.48671655198742,-7.188375031926842,0.11,0.11,Shen2020
0,47.374855312756594,-9.058375031926841,0.28,0.28,Shen2020
0,42.97451501949699,-3.351606238975224,0.296,0.296,Shen2020
0,43.9084956793705,-4.104606238975224,0.26,0.26,Shen2020
0,44.54087040550559,-4.280606238975223,0.16,0.16,Shen2020
0,44.8954551542076,-4.784606238975224,0.16,0.16,Shen2020
0,45.427245684350716,-5.384606238975223,0.16,0.16,Shen2020
0,45.89765990566232,-5.784606238975224,0.224,0.224,Shen2020
0,46.38531141392719,-6.351606238975224,0.224,0.224,Shen2020
0,47.13568822586712,-7.851606238975224,0.367,0.367,Shen2020
0,48.275672258271534,-9.101606238975222,0.76,0.76,Shen2020
0,42.91387571650648,-3.263519235254025,0.76,0.76,Shen2020
0,43.99785842500205,-3.909519235254025,0.439,0.439,Shen2020
0,44.684856894500015,-4.285519235254025,0.296,0.296,Shen2020
0,45.427245684350716,-5.049519235254025,0.26,0.26,Shen2020
0,45.78977970619749,-5.263519235254026,0.224,0.224,Shen2020
0,46.20883401401589,-6.009519235254025,0.224,0.224,Shen2020
0,46.90319467484533,-6.939519235254025,0.367,0.367,Shen2020
0,47.849130217770266,-8.119519235254025,0.44,0.44,Shen2020
0,48.826972533116304,-9.834519235254024,0.8,0.8,Shen2020
0,43.75612191694893,-3.5962881626940444,0.21000000000000002,0.21000000000000002,Shen2020
0,45.0542436260761,-4.496288162694044,0.21000000000000002,0.21000000000000002,Shen2020
0,46.398902742227946,-6.096288162694044,0.21000000000000002,0.21000000000000002,Shen2020
0,47.76666453190977,-8.946288162694046,0.81,0.81,Shen2020
0,43.53652528188812,-3.74515862186599,0.22500000000000003,0.22500000000000003,Shen2020
0,44.17186133328852,-3.8764375365053088,0.191,0.191,Shen2020
0,44.82363333400633,-4.473418002303997,0.255,0.255,Shen2020
0,45.488220658713956,-4.74515862186599,0.267,0.267,Shen2020
0,46.16213185259434,-5.261788417869326,0.256,0.256,Shen2020
0,46.84247497434496,-6.805856462219602,0.332,0.332,Shen2020
0,43.563290933812226,-3.9222013745312516,0.26,0.26,Shen2020
0,44.19939760470395,-3.872201374531251,0.21000000000000002,0.21000000000000002,Shen2020
0,44.85179268546909,-4.292201374531251,0.21000000000000002,0.21000000000000002,Shen2020
0,45.516846617545546,-4.932201374531251,0.31,0.31,Shen2020
0,42.103074421827834,-2.3921470504076816,0.41000000000000003,0.41000000000000003,Shen2020
0,42.69002864591128,-2.9297490525087255,0.36,0.36,Shen2020
0,43.29802225297184,-3.3921470504076816,0.31,0.31,Shen2020
0,43.9262078574848,-3.8480790060574055,0.21000000000000002,0.21000000000000002,Shen2020
0,44.57209154995268,-4.528824190287225,0.21000000000000002,0.21000000000000002,Shen2020
0,45.23220078236096,-5.216055791352001,0.16,0.16,Shen2020
0,45.90291859232654,-6.161698129029408,0.21000000000000002,0.21000000000000002,Shen2020
0,46.581091393600616,-7.049724369585475,0.26,0.26,Shen2020
0,47.264278848144514,-8.710905813032094,0.36,0.36,Shen2020
0,47.95073833253823,-9.246019014729443,0.41000000000000003,0.41000000000000003,Shen2020
0,40.85243650548694,-1.2221124498174967,0.41000000000000003,0.41000000000000003,Shen2020
0,42.541325773496794,-2.852201164745703,0.31,0.31,Shen2020
0,43.144066924543296,-3.2501411734177403,0.25,0.25,Shen2020
0,43.76738220118943,-3.8241724411454587,0.17,0.17,Shen2020
0,44.409143369444266,-4.183194383787127,0.09999999999999999,0.09999999999999999,Shen2020
0,45.066042775943075,-5.093793972557816,0.16,0.16,Shen2020
0,45.734429128777606,-6.028292423801384,0.18000000000000002,0.18000000000000002,Shen2020
0,46.4109960622968,-6.824172441145459,0.23,0.23,Shen2020
0,47.09311863590371,-8.613319075830566,0.4,0.4,Shen2020
0,42.31034707765829,-2.992533538044583,0.26826747707385357,0.26826747707385357,Shen2020
