z,log10 M_star [M_sun],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
5,10.0,-3.4655264,0.258491146912051,0.255225830218962,Song2016
5,10.5,-4.1209597,0.454779285938879,0.319799188445034,Song2016
5,11.0,-4.8784306,0.674985209650644,0.441998451156022,Song2016
6,6.86,-0.36990154711673695,0.5513361462728553,0.23628691983122366,Bhatawdekar2019
6,7.44,-1.0393811533052042,0.46132208157524524,0.2306610407876234,Bhatawdekar2019
6,8.0,-1.5907172995780583,0.2981715893108301,0.16877637130801593,Bhatawdekar2019
6,8.57,-2.0745428973277074,0.22503516174402272,0.14627285513361477,Bhatawdekar2019
6,9.15,-2.6990154711673697,0.31504922644163136,0.18002812939521773,Bhatawdekar2019
6,9.71,-3.3234880450070334,0.6751054852320668,0.24753867791842588,Bhatawdekar2019
6,8.964,-2.5575202309355514,0.1540069684646661,0.10945792630038875,Duncan2014
6,9.321,-2.9355420107730814,0.15758445450484837,0.11509380193826901,Duncan2014
6,9.679,-3.3665315444204134,0.1621767445206479,0.1201146033133198,Duncan2014
6,10.036,-3.6635402661514704,0.2080604651307234,0.1392114544759,Duncan2014
6,10.393,-3.9913998282380825,0.5853542978251096,0.24035344373378997,Duncan2014
6,10.75,-4.823908740944319,999.0,0.40369233756112877,Duncan2014
6,11.107,-5.73754891026957,999.0,1.2335093051512755,Duncan2014
6,7.35,-1.37303548699194,0.411276134928017,0.387103850789607,Song2016
6,7.75,-1.71563948699194,0.378312703363968,0.293386955341742,Song2016
6,8.15,-2.16217558699194,0.287650412200145,0.282312854964052,Song2016
6,8.55,-2.57014214102575,0.233665506243749,0.222654368935309,Song2016
6,9.0,-3.1363871,0.214048689189636,0.208032182124674,Song2016
6,9.5,-3.6859158,0.23352001213693,0.210636634697318,Song2016
6,10.0,-4.2700294,1.07202161001824,0.420805158958692,Song2016
6,7.799031476997579,-1.656049468506715,0.08072834667043072,0.06278026905829615,Stefanon2021
6,8.205811138014528,-1.8094278982399365,0.06276941117710311,0.06279112693948896,Stefanon2021
6,8.60774818401937,-2.3753515239036247,0.05382251707401764,0.06279112693948896,Stefanon2021
6,9.009685230024212,-2.60046797467942,0.0717271631613805,0.07177059468615266,Stefanon2021
6,9.401937046004843,-3.121526835253367,0.08073920455162398,0.08072834667043072,Stefanon2021
6,9.799031476997579,-3.3197265985515574,0.1255605381165914,0.11658107036992815,Stefanon2021
6,10.205811138014528,-4.020190230078501,0.15246636771300448,0.17041444532513905,Stefanon2021
6,10.607748184019371,-5.222885156190619,0.8430276115918742,0.5201902300785033,Stefanon2021
7,7.46,-1.2244039270687237,0.5273492286115007,0.24123422159887875,Bhatawdekar2019
7,8.03,-1.8190743338008408,0.4431977559607301,0.21318373071528796,Bhatawdekar2019
7,8.6,-2.340813464235622,0.38148667601683117,0.20196353436185044,Bhatawdekar2019
7,9.17,-3.025245441795232,0.3927068723702649,0.21879382889200727,Bhatawdekar2019
7,9.74,-3.659186535764376,2.3786816269284694,0.30855539971949586,Bhatawdekar2019
7,9.321,-3.037630664329979,0.7448853914561147,0.14109228642468397,Duncan2014
7,9.679,-3.438898616350944,2.2600713879850756,0.13873634221818998,Duncan2014
7,10.036,-3.7520267336381936,999.0,0.16532649771944552,Duncan2014
7,10.393,-4.443697499232712,2.556302500767277,0.49058269007042243,Duncan2014
7,10.75,-6.374687549038327,2.6253124509616876,1.7443115256789588,Duncan2014
7,7.35,-1.53318418699194,0.793431180951858,0.644448330013061,Song2016
7,7.75,-1.96873678699194,0.654818260648245,0.577381934795741,Song2016
7,8.15,-2.38856728699194,0.609682928920437,0.5263396896312,Song2016
7,8.55,-2.87330894102575,0.482365269866097,0.480885182813902,Song2016
7,9.0,-3.4692339,0.522854843010642,0.477731261399921,Song2016
7,9.5,-4.109306,0.827643717302815,0.545372878405764,Song2016
7,10.0,-4.6106947,2.03078802438856,0.805699165453867,Song2016
7,10.5,-5.2409417,2.03078802438856,0.970288614517624,Song2016
7,7.750605326876513,-2.1402458224302103,0.16141326181608928,0.12554968023539903,Stefanon2021
7,8.249394673123486,-2.4014538702917507,0.0717597368049594,0.05381165919282527,Stefanon2021
7,8.709443099273606,-2.8867903017405174,0.0807174887892379,0.07175973680496028,Stefanon2021
7,9.106537530266344,-3.1208645045005903,0.08967524077351596,0.08968609865470833,Stefanon2021
7,9.498789346246973,-3.5073942170924752,0.11660278613231423,0.11659192825112097,Stefanon2021
7,9.89588377723971,-3.7773428593144316,0.17039272956275342,0.13452914798206228,Stefanon2021
7,10.302663438256658,-4.989017253173214,0.8609865470852016,0.5291479820627814,Stefanon2021
8,7.82,-2.155680224403926,0.7910238429172516,0.25806451612903203,Bhatawdekar2019
8,8.12,-2.531556802244039,0.7180925666199158,0.24684431977559562,Bhatawdekar2019
8,8.43,-2.946704067321177,0.7180925666199163,0.25806451612903203,Bhatawdekar2019
8,8.72,-3.328190743338008,0.7349228611500691,0.25806451612903203,Bhatawdekar2019
8,7.35,-1.63685928699194,1.54680934524206,1.0675760930242,Song2016
8,7.75,-2.18402148699194,1.0331382295417,0.907556188541602,Song2016
8,8.15,-2.78733318699194,1.08791550079987,0.834086610309846,Song2016
8,8.55,-3.37008004102575,0.729779623315303,0.673072252546534,Song2016
8,9.0,-4.2076455,0.95950311012085,0.724277071855728,Song2016
8,9.5,-5.3073597,2.03078802438856,1.06806197718973,Song2016
8,7.900726392251816,-2.3827348831149084,0.19730941704035843,0.17040358744394624,Stefanon2021
8,8.404358353510895,-3.0565098426693007,0.11657021248873489,0.10762331838565053,Stefanon2021
8,8.90314769975787,-3.4522470385129034,0.09865470852017921,0.1255713959977851,Stefanon2021
8,9.353510895883776,-3.9554989739302258,0.2062671690246365,0.17937219730941711,Stefanon2021
8,9.750605326876514,-4.234416226017654,0.26007882821746087,0.20627802690582975,Stefanon2021
8,10.152542372881356,-5.1501156364347045,0.8789237668161434,0.5201902300785024,Stefanon2021
9,8.28,-2.7415730337078648,0.6573033707865168,0.2584269662921348,Bhatawdekar2019
9,8.58,-3.157303370786517,0.7247191011235952,0.25842696629213524,Bhatawdekar2019
9,8.88,-3.5786516853932575,0.6741573033707864,0.2584269662921348,Bhatawdekar2019
9,9.18,-3.9999999999999982,0.8089887640449458,0.2696629213483135,Bhatawdekar2019
9,7.50363196125908,-2.5432795144355524,0.2959532676793448,0.26007882821746175,Stefanon2021
9,8.254237288135593,-3.4328548627020914,0.29595326767934527,0.25113193411437695,Stefanon2021
9,8.757869249394673,-4.142504261718367,0.19729855915916605,0.1704035874439458,Stefanon2021
9,9.50363196125908,-5.121754850758421,0.49327354260089695,0.3587552525000266,Stefanon2021
10,7.648910411622276,-2.929255475086591,0.4484413511547358,0.3766924722309688,Stefanon2021
10,8.254237288135593,-4.580836925482361,0.35876611038121986,0.2959749834417309,Stefanon2021
10,8.74818401937046,-5.057280752234007,0.7982062780269068,0.5112107623318378,Stefanon2021
