z,log10 M_star [M_sun],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,9.95,-2.2389113400395266,0.014399329697401875,0.01030826994977474,Moustakas2013
0,10.05,-2.29902103121597,0.0764584006206706,0.0776433614667646,Moustakas2013
0,10.05,-2.32205088584851,0.0458190848684641,0.0451720578422372,Moustakas2013
0,10.05,-2.27119222461799,0.0413461895790568,0.0419980808321303,Moustakas2013
0,10.05,-2.24995854770196,0.014413745419144863,0.010010382522092076,Moustakas2013
0,10.149999999999999,-2.25632474740039,0.0279030093271624,0.0257687475371413,Moustakas2013
0,10.149999999999999,-2.2756899211899158,0.014827393397848443,0.011119787029385098,Moustakas2013
0,10.149999999999999,-2.3635201105701,0.0516791985925731,0.0519008987281238,Moustakas2013
0,10.149999999999999,-2.32711915440651,0.0485468893376932,0.0515486266215817,Moustakas2013
0,10.25,-2.28956663498795,0.0286715750512205,0.0297567769344895,Moustakas2013
0,10.25,-2.278226685708331,0.015024617764506143,0.011802353467777138,Moustakas2013
0,10.25,-2.35403538488403,0.033968509496086,0.03644094089216,Moustakas2013
0,10.25,-2.36768439364838,0.0401089661272813,0.0376114867833084,Moustakas2013
0,10.350000000000001,-2.36010080313454,0.0579485998901417,0.052903604160115,Moustakas2013
0,10.350000000000001,-2.39489464778732,0.0458839799322401,0.0445089243260437,Moustakas2013
0,10.350000000000001,-2.31660533813505,0.0377541336897589,0.035794440965534,Moustakas2013
0,10.350000000000001,-2.3094983482967586,0.01422013093840313,0.011705318293119937,Moustakas2013
0,10.45,-2.42595183828286,0.0647841008272803,0.0695223055059806,Moustakas2013
0,10.45,-2.40572461044937,0.0560984709776107,0.0490557698370901,Moustakas2013
0,10.45,-2.3351465414866,0.0478706481217444,0.0471701264619449,Moustakas2013
0,10.45,-2.345995174531953,0.014030894980740616,0.00957173269901368,Moustakas2013
0,10.55,-2.38972707835525,0.0587928091720418,0.0639377478751166,Moustakas2013
0,10.55,-2.44526551193025,0.0780188698137865,0.0732445585005093,Moustakas2013
0,10.55,-2.42367955563365,0.0470618561661063,0.0495855939991512,Moustakas2013
0,10.55,-2.3964838649292695,0.01423726920949564,0.00928333191617181,Moustakas2013
0,10.649999999999999,-2.446546722087567,0.016331234472567235,0.012004076451889834,Moustakas2013
0,10.649999999999999,-2.47405960763349,0.0565453333262269,0.0597130012314362,Moustakas2013
0,10.649999999999999,-2.46337612474119,0.0502050622225725,0.0509861252463963,Moustakas2013
