z,UV Magnitude,log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
2,-16.483516483516482,-1.4431814866550638,0.046728971962616495,0.01869158878504651,Parsa2016
2,-15.999999999999998,-1.3684151315148765,0.028037383177569764,0.05607476635513953,Parsa2016
2,-15.516483516483516,-1.34972354272983,0.03738317757009302,0.03738317757009302,Parsa2016
2,-14.989010989010987,-1.12542447730927,0.028037383177570208,0.037383177570093684,Parsa2016
2,-14.505494505494505,-1.0786955053466531,0.009345794392523477,0.028037383177569986,Parsa2016
2,-22.58,-5.3979400086720375,0.6020599913279625,0.24303804868629442,Reddy2009
2,-22.08,-4.455931955649724,0.09691001300805624,0.07918124604762511,Reddy2009
2,-21.58,-3.8477116556169433,0.05191779926549378,0.04636874257136592,Reddy2009
2,-21.08,-3.4672456210075024,0.08096794346820735,0.06821851669425083,Reddy2009
2,-20.58,-2.904481957676849,0.029938327594702496,0.028006938619581145,Reddy2009
2,-20.08,-2.692503962086787,0.04409670657921083,0.04002912208547649,Reddy2009
2,-19.58,-2.4457531918338895,0.04049665808428715,0.03704045689238855,Reddy2009
2,-19.08,-2.1444202774982823,0.03478734141351403,0.03220631233665383,Reddy2009
2,-18.58,-2.086822166009532,0.043301020723701455,0.03937245990773386,Reddy2009
2,-18.08,-1.8989406450918844,0.06594995196354003,0.057242814319906854,Reddy2009
3,-22.52822966507177,-4.8043071823391985,0.808988764044944,0.2808988764044944,Bouwens2021
3,-21.770334928229666,-3.714419541889761,0.3146067415730336,0.16853932584269726,Bouwens2021
3,-21.265071770334927,-3.0177903284066145,0.0786516853932584,0.101123595505618,Bouwens2021
3,-20.771291866028708,-2.7256554969459406,0.05617977528089879,0.06741573033707882,Bouwens2021
3,-20.26602870813397,-2.399812800316727,0.03370786516853963,0.04494382022471877,Bouwens2021
3,-19.77224880382775,-2.2537453845863897,0.03370786516853963,0.033707865168539186,Bouwens2021
3,-19.278468899521528,-2.0627341486313338,0.02247191011236005,0.033707865168539186,Bouwens2021
3,-18.773205741626793,-1.9391386430133561,0.033707865168539186,0.033707865168539186,Bouwens2021
3,-18.279425837320574,-1.804307182339199,0.03370786516853963,0.022471910112359605,Bouwens2021
3,-17.774162679425835,-1.5458802160470642,0.022471910112359605,0.022471910112359605,Bouwens2021
3,-17.25741626794258,-1.5908240362717834,0.05617977528089879,0.056179775280899014,Bouwens2021
3,-22.897,-5.145111991327963,0.2700214,0.1652427,Cucciati2012
3,-22.337,-4.003735091327963,0.0866538,0.0722067,Cucciati2012
3,-21.862,-3.4184903913279623,0.0903444,0.0747484,Cucciati2012
3,-21.429,-3.0457773913279627,0.0884164,0.0734251,Cucciati2012
3,-20.851,-2.8575328913279625,0.1060746,0.0851852,Cucciati2012
3,-22.464306442251882,-5.061800184561382,0.23364685398245566,0.14026492779352218,Parsa2016
3,-22.031955208084394,-4.239875361236809,0.08411286743368418,0.046652555392442174,Parsa2016
3,-21.533030623741077,-3.530177843227864,0.04672937079649131,0.027935201939162546,Parsa2016
3,-21.011232119080944,-2.9513481685837752,0.018691748318596435,0.028037622477894875,Parsa2016
3,-20.488955651906725,-2.437939613054773,0.04672937079649042,0.037434706906557924,Parsa2016
3,-20.008398484176023,-2.2142019461946445,0.028037622477893986,0.03738349663719154,Parsa2016
