z,UV Magnitude,log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
8,-21.850717703349282,-5.175093699193131,0.393258426966292,0.22471910112359605,Bouwens2021
8,-21.345454545454544,-4.534644260990884,0.21348314606741603,0.13483146067415674,Bouwens2021
8,-20.86315789473684,-3.9953184182942554,0.13483146067415674,0.10112359550561845,Bouwens2021
8,-20.12822966507177,-3.5121723508785245,0.1797752808988764,0.11235955056179758,Bouwens2021
8,-19.358851674641148,-2.7705993171706593,0.21348314606741603,0.12359550561797716,Bouwens2021
8,-18.60095693779904,-2.5683521261594238,0.1573033707865168,0.1348314606741572,Bouwens2021
8,-17.601913875598086,-2.107677968856053,0.22471910112359517,0.12359550561797761,Bouwens2021
8,-20.481481481481477,-2.912404818914114,0.7448275862068368,0.5241379310344421,Livermore2017
8,-19.48148148148148,-2.402059991327935,0.8689655172413104,0.31724137931032104,Livermore2017
8,-19.999999999999996,-2.8986117154658775,1.5034482758619525,0.11034482758619824,Livermore2017
8,-19.0,-2.8434393016727704,1.4206896551723016,0.11034482758619824,Livermore2017
8,-18.500000000000004,-2.291715163741726,0.4551724137930684,0.3034482758620456,Livermore2017
8,-17.999999999999993,-2.3193013706382803,0.7310344827585649,0.3586206896551438,Livermore2017
8,-17.5,-2.3744737844313963,0.758620689655114,0.5103448275861666,Livermore2017
8,-17.000000000000007,-1.7124048189141483,0.7310344827585631,0.37241379310341927,Livermore2017
8,-16.50000000000001,-1.6434393016727533,0.7862068965516631,0.5241379310344421,Livermore2017
8,-16.000000000000004,-1.257232405121055,1.3931034482757525,0.09655172413792279,Livermore2017
8,-15.500000000000007,-0.6227496465003862,0.7310344827586075,0.38620689655173557,Livermore2017
8,-15.00000000000001,-0.5537841292590161,0.7724137931034392,0.5241379310344989,Livermore2017
9,-21.002391578630213,-4.973118279569896,0.7526881720429266,0.2822580645160979,Bhatawdekar2019
9,-20.103383989605117,-4.139784946236562,1.0349462365590227,0.2956989247311501,Bhatawdekar2019
9,-19.317063066116802,-3.521505376344088,0.9408602150536574,0.28225806451611746,Bhatawdekar2019
9,-21.919617224880383,-5.71441954188976,0.6404494382022472,0.2359550561797752,Bouwens2021
9,-21.127272727272725,-4.759363362114479,0.22471910112359605,0.1573033707865168,Bouwens2021
9,-20.311961722488036,-4.175093699193131,0.21348314606741603,0.11235955056179758,Bouwens2021
9,-19.12918660287081,-3.3323970699796486,0.696629213483146,0.25842696629213524,Bouwens2021
9,-17.923444976076553,-2.647003811552682,0.32584269662921317,0.19101123595505642,Bouwens2021
10,-21.25,-6.022276394711152,0.7736036226329226,0.5205869485007533,Oesch2018
10,-20.25,-5.008773924307505,0.33801356191715115,0.2943312333152788,Oesch2018
10,-19.25,-4.468521082957745,0.45229767099463025,0.36614817424818646,Oesch2018
10,-18.25,-3.721246399047171,0.43365556093857194,0.36469907553335856,Oesch2018
10,-17.25,-3.2006594505464183,0.7579478642953563,0.5269953114751695,Oesch2018
